error,index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
582,185448,australia,1952.0,achieve-australia,individual & family services,linkedin.com/company/achieve-australia,nan,achieve australia,nan,1001-5000,achieveaustralia.org.au
601,214225,australia,1957.0,kurrajong-waratah,non-profit organization management,linkedin.com/company/kurrajong-waratah,nan,kurrajong,nan,501-1000,kurrajongwaratah.org.au
616,46262,australia,1996.0,web-design-melbourne,architecture & planning,linkedin.com/company/web-design-melbourne,melbourne,web design melbourne,victoria,10001+,lowcostwebdesign.com.au
734,98719,australia,nan,laser-electrical,electrical/electronic manufacturing,linkedin.com/company/laser-electrical,nan,laser electrical,nan,1001-5000,laserelectrical.com.au
762,183238,australia,1998.0,stellar,outsourcing/offshoring,linkedin.com/company/stellar,south yarra,stellar,victoria,1001-5000,stellarbpo.com
852,176429,australia,2012.0,perth-arena,entertainment,linkedin.com/company/perth-arena,nan,perth arena,nan,1001-5000,pertharena.com.au
863,214193,australia,2017.0,iotfestival,internet,linkedin.com/company/iotfestival,south wharf,iot festival,victoria,501-1000,iotfestival.io
864,216797,australia,2013.0,answercrowd,market research,linkedin.com/company/answercrowd,nan,answercrowd,nan,10001+,answercrowd.com.au
2102,215450,australia,1984.0,trivett,automotive,linkedin.com/company/trivett,nan,trivett,nan,1001-5000,trivett.com.au
2107,3140,australia,1898.0,rcr-tomlinson,mechanical or industrial engineering,linkedin.com/company/rcr-tomlinson,sydney,rcr tomlinson,new south wales,1001-5000,rcrtom.com.au
2109,11067,australia,nan,city-of-brimbank,government relations,linkedin.com/company/city-of-brimbank,sunshine,brimbank city council,victoria,1001-5000,brimbank.vic.gov.au
2110,13316,australia,2008.0,cenitex,information technology and services,linkedin.com/company/cenitex,nan,cenitex,nan,501-1000,cenitex.vic.gov.au
2111,15962,australia,1870.0,anglicaresq,hospital & health care,linkedin.com/company/anglicaresq,nan,anglicare southern queensland,nan,1001-5000,anglicaresq.org.au
2113,17036,australia,2015.0,happsa-group,facilities services,linkedin.com/company/happsa-group,melbourne,happsa group,victoria,501-1000,happsa.com.au
2128,50255,australia,nan,melbourne-water,utilities,linkedin.com/company/melbourne-water,melbourne,melbourne water,victoria,1001-5000,melbournewater.com.au
2583,57700,australia,nan,mercer-australia,financial services,linkedin.com/company/mercer-australia,nan,mercer australia,nan,1001-5000,mercer.com.au
3603,49053,australia,1999.0,raytheon-australia,defense & space,linkedin.com/company/raytheon-australia,nan,raytheon australia,act,1001-5000,nan
